PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=124 ttl=61 time=0.373 ms
64 bytes from 172.16.114.238: icmp_seq=125 ttl=61 time=0.529 ms
64 bytes from 172.16.114.238: icmp_seq=126 ttl=61 time=0.379 ms
64 bytes from 172.16.114.238: icmp_seq=127 ttl=61 time=0.534 ms
64 bytes from 172.16.114.238: icmp_seq=128 ttl=61 time=0.386 ms
64 bytes from 172.16.114.238: icmp_seq=129 ttl=61 time=17.0 ms
64 bytes from 172.16.114.238: icmp_seq=130 ttl=61 time=0.395 ms
64 bytes from 172.16.114.238: icmp_seq=131 ttl=61 time=0.540 ms
64 bytes from 172.16.114.238: icmp_seq=132 ttl=61 time=0.383 ms
64 bytes from 172.16.114.238: icmp_seq=133 ttl=61 time=0.528 ms
64 bytes from 172.16.114.238: icmp_seq=134 ttl=61 time=0.368 ms
64 bytes from 172.16.114.238: icmp_seq=135 ttl=61 time=0.492 ms
64 bytes from 172.16.114.238: icmp_seq=136 ttl=61 time=0.462 ms
64 bytes from 172.16.114.238: icmp_seq=137 ttl=61 time=0.583 ms
64 bytes from 172.16.114.238: icmp_seq=138 ttl=61 time=0.393 ms
64 bytes from 172.16.114.238: icmp_seq=139 ttl=61 time=0.534 ms
64 bytes from 172.16.114.238: icmp_seq=140 ttl=61 time=0.373 ms
64 bytes from 172.16.114.238: icmp_seq=141 ttl=61 time=0.534 ms
64 bytes from 172.16.114.238: icmp_seq=142 ttl=61 time=0.540 ms
64 bytes from 172.16.114.238: icmp_seq=143 ttl=61 time=3.39 ms
64 bytes from 172.16.114.238: icmp_seq=144 ttl=61 time=0.487 ms
64 bytes from 172.16.114.238: icmp_seq=145 ttl=61 time=0.430 ms
64 bytes from 172.16.114.238: icmp_seq=146 ttl=61 time=0.314 ms
64 bytes from 172.16.114.238: icmp_seq=147 ttl=61 time=0.328 ms
64 bytes from 172.16.114.238: icmp_seq=148 ttl=61 time=0.325 ms
64 bytes from 172.16.114.238: icmp_seq=149 ttl=61 time=0.490 ms
64 bytes from 172.16.114.238: icmp_seq=150 ttl=61 time=0.495 ms
64 bytes from 172.16.114.238: icmp_seq=151 ttl=61 time=0.486 ms
64 bytes from 172.16.114.238: icmp_seq=152 ttl=61 time=0.508 ms
64 bytes from 172.16.114.238: icmp_seq=153 ttl=61 time=0.506 ms
64 bytes from 172.16.114.238: icmp_seq=154 ttl=61 time=0.480 ms
64 bytes from 172.16.114.238: icmp_seq=155 ttl=61 time=0.370 ms
64 bytes from 172.16.114.238: icmp_seq=156 ttl=61 time=0.530 ms
64 bytes from 172.16.114.238: icmp_seq=157 ttl=61 time=0.610 ms
64 bytes from 172.16.114.238: icmp_seq=158 ttl=61 time=0.480 ms
64 bytes from 172.16.114.238: icmp_seq=159 ttl=61 time=0.576 ms
64 bytes from 172.16.114.238: icmp_seq=160 ttl=61 time=0.371 ms
64 bytes from 172.16.114.238: icmp_seq=161 ttl=61 time=0.559 ms
64 bytes from 172.16.114.238: icmp_seq=162 ttl=61 time=0.669 ms
64 bytes from 172.16.114.238: icmp_seq=163 ttl=61 time=0.501 ms
64 bytes from 172.16.114.238: icmp_seq=164 ttl=61 time=0.499 ms
64 bytes from 172.16.114.238: icmp_seq=165 ttl=61 time=0.566 ms
64 bytes from 172.16.114.238: icmp_seq=166 ttl=61 time=0.559 ms
64 bytes from 172.16.114.238: icmp_seq=167 ttl=61 time=0.400 ms
64 bytes from 172.16.114.238: icmp_seq=168 ttl=61 time=0.782 ms
64 bytes from 172.16.114.238: icmp_seq=169 ttl=61 time=2.17 ms
64 bytes from 172.16.114.238: icmp_seq=170 ttl=61 time=0.621 ms
64 bytes from 172.16.114.238: icmp_seq=171 ttl=61 time=0.377 ms
64 bytes from 172.16.114.238: icmp_seq=172 ttl=61 time=0.507 ms
64 bytes from 172.16.114.238: icmp_seq=173 ttl=61 time=2.98 ms
